Ship Name,Capacity (TEU),Speed (knots),Length (m),Beam (m),Draft (m),Displacement (tons),Block Coefficient
Synthetic_5589,16884,22.655257985728134,398.5303847505713,57.50095715409077,15.265998263498156,160950.00183525763,0.6549262800359754
Synthetic_5242,19037,23.210759896086028,398.38340423155074,56.41807568299375,15.718954847719383,196458.3160543739,0.6846474294809364
Synthetic_1889,22942,22.456998629659296,398.66148612943,60.55769296279853,15.865739570674464,226128.56837216477,0.7529434959164882
Synthetic_6134,19037,23.296345278099622,398.31891209099473,56.50846224579142,15.657648673935073,196458.21749600666,0.6062460995566024
Synthetic_2321,16884,22.62991444468854,398.4462774407442,57.538752515550655,15.339531845752003,160949.99375331664,0.7064921481313213
Synthetic_9478,19037,23.31792983453138,398.29668237306913,56.33162422011966,15.725535904155684,196458.31973077563,0.740374812568349
Synthetic_2989,19038,23.27138124920671,398.3144232276381,56.49619593107115,15.744243287611981,196458.3943481713,0.6388551481223004
Synthetic_3303,22942,22.542106494819507,398.47220703031013,60.57280968508049,15.817852988048324,226128.5319483827,0.70960785469154
Synthetic_7255,19037,23.241415104979396,398.38543260708326,56.48668628461703,15.620390494281558,196458.29805448503,0.6313331437375662
Synthetic_5530,22942,22.400006848850428,398.58580130597363,60.66173327021687,15.84780468624168,226128.63006459197,0.6800317476164583
Synthetic_5154,22942,22.460050171631487,398.52935061563767,60.61270012685192,15.76032712037217,226128.60514386196,0.6518636886167389
Synthetic_5962,19037,23.32172894377163,398.3135795230231,56.347553208502745,15.728727187801365,196458.37421761686,0.6500639184446497
Synthetic_2430,19037,23.21311764438184,398.2547123437693,56.596012198159784,15.68484288737674,196458.34345232075,0.7037493507108263
Synthetic_6723,19037,23.247764785086783,398.28815596222773,56.42271990090852,15.744841525190278,196458.37853996412,0.59116979682485
Synthetic_3485,22942,22.535384759706083,398.626007828023,60.61440598218995,15.773681782064788,226128.49265834017,0.6817183298085419
Synthetic_3222,19037,23.14682853135263,398.3190259558478,56.40962399888333,15.761838868822698,196458.33579079143,0.6208150166696815
Synthetic_4172,22942,22.471296689244245,398.5584359056014,60.619010515501586,15.864058841982134,226128.60978966148,0.7767558563888068
Synthetic_4242,19037,23.290011887719825,398.3238227786896,56.4872929184245,15.807273286097235,196458.32499615639,0.6458400125075467
Synthetic_8021,16884,22.55355610683448,398.54956394506854,57.53326360402952,15.27760661086176,160950.00764734944,0.639267918600099
Synthetic_5475,22942,22.416345475181355,398.54461568008674,60.64142988980067,15.87307523922506,226128.62546818843,0.6355898641134243
Synthetic_2548,22942,22.402454246040808,398.5606754721261,60.52658630377221,15.820561822643558,226128.57374567946,0.7172734632998264
Synthetic_7402,16884,22.593707796936833,398.53364484026554,57.482565858712256,15.257827199105554,160950.01963667,0.6657872820539925
Synthetic_9557,22942,22.505687226855862,398.6041640694718,60.591550619189135,15.809343070710417,226128.558563999,0.7047345756236905
Synthetic_2748,19037,23.2216374609856,398.3029301923787,56.50820312484324,15.716389982138814,196458.31133593802,0.6977523312786829
Synthetic_1053,22942,22.42935326923442,398.6806520591401,60.55417533352669,15.819014016454835,226128.52814509065,0.7163728242786109
Synthetic_3568,19037,23.277227536958215,398.3053030177138,56.44012824126551,15.720980060412804,196458.24756105963,0.7213449857121456
Synthetic_6331,19037,23.348871118030043,398.3178216929921,56.395411040470094,15.754201108224366,196458.31153570212,0.7088194244950998
Synthetic_8180,22942,22.437925911133863,398.5111077662835,60.66001512532484,15.809742710998274,226128.56850450585,0.5780206144797941
Synthetic_3151,22942,22.407773709253746,398.55328644053833,60.60166222873678,15.859363971054966,226128.52297125242,0.6127358448066687
Synthetic_2638,19037,23.28236384096857,398.2939225808344,56.49372947434779,15.775764353267363,196458.32943352018,0.7630685628557816
Synthetic_3698,16884,22.626741645293997,398.4351251632736,57.51000178939362,15.338052931535353,160949.96027042018,0.7831848299527516
Synthetic_3465,22942,22.4121772188422,398.5973790434141,60.56922066922335,15.839273928889465,226128.5549890319,0.6381734688201138
