Ship Name,Capacity (TEU),Speed (knots),Length (m),Beam (m),Draft (m),Displacement (tons),Block Coefficient
Synthetic_8712,16883,22.596942760275343,398.4821268874975,57.56202384779282,15.255968139571706,160949.99947564775,0.701891117499255
Synthetic_3994,16884,22.609346296238495,398.55730774061703,57.57356699510568,15.346642336629873,160950.03574183577,0.7352304383428838
Synthetic_7647,19037,23.284541847227917,398.35746205599884,56.371560824358674,15.668143310078776,196458.3236703479,0.7493016821263208
Synthetic_3826,22942,22.422994170552716,398.54302228231563,60.59411063849965,15.83905493652451,226128.50647944145,0.6592696982099134
Synthetic_5010,19037,23.2961692911946,398.26956955118953,56.391268337059024,15.57312198957157,196458.35141085566,0.6870012267825862
Synthetic_3137,16884,22.64064442317562,398.500631966114,57.49119264808821,15.26042454256103,160949.97202841265,0.6001101921978725
Synthetic_2519,22941,22.434126297539986,398.56585492943833,60.59482888088446,15.850745126633349,226128.52867669478,0.6176780546129732
Synthetic_5930,16883,22.57121530585266,398.4795783691043,57.47183247244056,15.290068231785181,160949.9680172583,0.6614969400087181
Synthetic_9793,19037,23.259259023035217,398.3286135908461,56.42344762362269,15.646905040788859,196458.25982467702,0.6704949494149123
Synthetic_7502,22941,22.40776537750235,398.54290103103233,60.5771967949486,15.846293126222665,226128.48269207426,0.6902058285530954
Synthetic_2975,19037,23.297835234443713,398.311330934415,56.54462755622757,15.876240294236121,196458.31887551554,0.5934357537228947
Synthetic_3712,16884,22.651086264496428,398.59514882548774,57.501576391071616,15.339341933519265,160950.03084004542,0.6574433670817856
Synthetic_8248,22942,22.409736117676612,398.6149861525725,60.615724019094365,15.819412811502731,226128.44366963147,0.6888449280122927
Synthetic_3404,22942,22.504381784777607,398.6453686242281,60.51642360490011,15.840625416375024,226128.5955216467,0.7501053531049625
Synthetic_1539,16883,22.682130036324192,398.52981472860034,57.57384627482277,15.393798265674135,160950.02634965445,0.7870283197878514
Synthetic_9489,19037,23.181886849027695,398.27403640274565,56.40094241847894,15.665753619490195,196458.27398144937,0.6190308261201932
Synthetic_8419,16883,22.551109607135132,398.44254020311354,57.452274441991385,15.275373204527844,160949.95335238404,0.680397362431008
Synthetic_1857,19037,23.17543800752624,398.382030541636,56.339426478753744,15.66246415312814,196458.31883292232,0.6598498912527723
Synthetic_3150,22941,22.435450548532643,398.6577344425753,60.68782135721116,15.754509681946068,226128.6336508439,0.7284022429367059
Synthetic_6791,19037,23.265298762860535,398.3053127458414,56.48089385008723,15.745130979057977,196458.36292005083,0.6487454092172907
Synthetic_5607,22942,22.48680832934716,398.60544241621903,60.643957958787475,15.88850503577393,226128.5168831889,0.7407788113874836
Synthetic_3948,22941,22.51436642005417,398.6089396576948,60.6446135894491,15.80063288151477,226128.61439934245,0.7335821627366204
Synthetic_3667,22941,22.495377842908102,398.5519907814436,60.706058775174476,15.85104097253962,226128.55125818503,0.717563038908074
Synthetic_2938,19037,23.31021683148793,398.3359877772703,56.38724200699482,15.76199090649575,196458.26241055707,0.6823341885937295
Synthetic_5220,16884,22.589584841653938,398.4451085699739,57.540505933076496,15.40130438212843,160949.97250632197,0.6880656946590148
Synthetic_8232,16883,22.658424099187968,398.45676331650367,57.51148134091834,15.28519215543574,160949.869109401,0.6805222847365059
Synthetic_2257,16884,22.657576999403204,398.53286946078117,57.60032069758499,15.234378921644012,160949.99394286354,0.70654296135054
Synthetic_4287,22942,22.374997991584898,398.66124880490077,60.620852461732746,15.807781595478508,226128.6223353112,0.6955732575007278
Synthetic_3190,16883,22.583604020186037,398.43703011099785,57.53078262995297,15.19793293505137,160950.02730193877,0.7022887579266658
Synthetic_2224,19037,23.383120846115848,398.363490849856,56.48121968216027,15.756418642603325,196458.38257651703,0.679089405515955
Synthetic_3420,16883,22.62539168271997,398.4280593781492,57.53001125527871,15.297468712659239,160949.98145629175,0.6584495558054175
Synthetic_2474,16883,22.667695211704658,398.5182791346803,57.484056170879896,15.323512533674915,160949.89954017347,0.6152889828457805
Synthetic_7294,16883,22.509708900794852,398.51323670970874,57.48206959673249,15.369028490897302,160950.06219328067,0.71817673347016
Synthetic_4229,22942,22.430883306048308,398.52391673049976,60.66496576057926,15.880475640060212,226128.59685887874,0.5849607554678521
Synthetic_4261,16883,22.62725840894682,398.4939640953145,57.53966053885385,15.337324359396531,160950.02179897108,0.582838339441268
Synthetic_3461,22941,22.455106159774832,398.58436541371447,60.629185613789055,15.807460534674465,226128.54001758597,0.6388197014410106
Synthetic_6693,22942,22.51257375663704,398.58886693918186,60.60555041875663,15.831584638068207,226128.6260649076,0.7195992672757675
Synthetic_1573,22942,22.494687302230776,398.61462103713035,60.59145097586465,15.7679317126049,226128.53722531837,0.6342113850754849
Synthetic_9112,16884,22.59399201988439,398.4689254239848,57.5170466317921,15.280852941957477,160949.98842785784,0.6858311487500266
Synthetic_6045,19037,23.305251636350388,398.3327025154956,56.46666327303446,15.720951895375103,196458.31488536287,0.6553004595245211
Synthetic_7091,19037,23.35576809764772,398.3839661621792,56.515556123164885,15.67037823917326,196458.4176682428,0.7006379241576322
Synthetic_9716,22941,22.481356654734817,398.63313162047774,60.62650477576193,15.906000235988216,226128.54462807562,0.657214270414933
Synthetic_1434,22942,22.440559600806644,398.54456684660437,60.67083646465101,15.875651706636383,226128.55263994436,0.6863271664927433
Synthetic_4474,22941,22.491302751321733,398.6841701429483,60.60231317545243,15.71613330773539,226128.59002838173,0.7145375369704459
Synthetic_1437,19037,23.359535582205904,398.26878956422746,56.495596198462636,15.723273696639488,196458.37105143434,0.7284872134809177
Synthetic_4639,22942,22.509079797153415,398.5677487107786,60.59869124221035,15.886007541129887,226128.49419126057,0.6340067142040681
