Ship Name,Capacity (TEU),Speed (knots),Length (m),Beam (m),Draft (m),Displacement (tons),Block Coefficient
Synthetic_1045,16655,23.453059197871973,396.98392184442514,52.235368163682345,15.405445756873624,188824.96494228407,0.7306939721533641
Synthetic_8713,21512,22.349203183719002,401.37134545409185,59.622726741218834,15.744825902855283,219666.70025813926,0.6622428814870097
Synthetic_1148,19041,23.24568879315057,398.34108383818545,56.39091002189565,15.70968640372526,196459.5000365657,0.721986664116289
Synthetic_5194,20169,24.469301417324633,400.07396281990094,58.064180857612975,14.900075065673573,210700.11578369033,0.7325881726704333
Synthetic_3923,19041,23.305242528698564,398.3824744577812,56.406932631778425,15.776841273373645,196459.51083927628,0.6072840741296125
Synthetic_5051,16655,23.483251578522513,397.02837521605517,52.298086386514434,15.42290461930411,188824.92586725036,0.7346457170559574
Synthetic_3275,16655,23.519659886361932,396.97465805798413,52.25434598475887,15.430758712034034,188824.905280446,0.647324698988509
Synthetic_8757,16655,23.476401217631324,396.9084452456057,52.23151861775766,15.386621702253871,188824.9293525055,0.6056408636921464
Synthetic_9870,20169,24.483833188224178,399.89262272511394,57.98253123034111,14.867637892257896,210700.07391475438,0.7120274496790494
Synthetic_3589,19041,23.177977682102426,398.26146557106546,56.36020179489777,15.650693563339109,196459.54487440683,0.5536328604935988
Synthetic_1199,22944,22.497504424373048,398.60858589928495,60.57830719820212,15.81897064197461,226133.33922579413,0.6883842432125845
Synthetic_8492,16655,23.471481904363355,396.9782844335784,52.33200071298434,15.354022343459224,188825.00280895457,0.6903242125226156
Synthetic_1264,16884,22.554022917961383,398.5362329764989,57.4758843927212,15.342957646818336,160950.03269192876,0.5303923553867121
Synthetic_2888,16883,22.711646573018434,398.4978147530061,57.47167806388851,15.313073467456046,160949.90189285544,0.6832050344477698
Synthetic_3881,23874,22.74392653596854,395.9988188154798,61.50657654968491,16.31070953329899,233800.03790447264,0.7153216869855846
Synthetic_3723,20170,24.391358975141006,399.96283204797,57.995481112901864,14.955519085599983,210699.98975335195,0.6726796708035125
Synthetic_4502,23873,22.698635584617204,395.98446491237416,61.400153567164125,16.229805298938707,233799.9755036419,0.5481711603698001
Synthetic_1607,21512,22.299947599123275,401.3740988048004,59.70991867916832,15.76610082616112,219666.6870443522,0.6781086717543616
Synthetic_8516,16655,23.557371689071875,397.0308132532453,52.34131153448805,15.439483081383903,188825.01281460686,0.5748515604911796
Synthetic_8414,20170,24.44739820501863,399.9625069591952,58.016671899877586,14.943207983393725,210700.02905729326,0.6720980313002896
Synthetic_5839,19041,23.27013348907949,398.39231382320503,56.44546519183239,15.726800239209792,196459.5447046576,0.6655562435471357
Synthetic_3854,23873,22.8159504843014,396.01508813893014,61.537712706164456,16.24296391552604,233799.94661237567,0.6889613572777106
Synthetic_8684,20170,24.51511238802553,400.03647170878946,57.978757918564476,14.872884483517794,210700.00281676283,0.6302875577504878
Synthetic_3481,22944,22.56445384817003,398.5131384092602,60.64781212697821,15.757579439737045,226133.33185294666,0.6936816135825801
Synthetic_8852,19041,23.31682288454645,398.3362943142624,56.471720695845036,15.748543479280167,196459.6160380612,0.6335425152545693
Synthetic_1914,19041,23.306496582811263,398.3532490413071,56.424717487905056,15.74688740203717,196459.6396509203,0.731258239466081
Synthetic_4013,21512,22.425841710827356,401.2585525023652,59.67624001343223,15.719209039910696,219666.62318308585,0.7012362717895997
Synthetic_2056,21512,22.506766484752607,401.43248446982903,59.76520609779686,15.712853571964569,219666.66613410474,0.6632027172595608
Synthetic_7871,22944,22.473905549024312,398.5820640514225,60.6004616426278,15.871004167215224,226133.3360815716,0.5935117574225883
Synthetic_4312,21512,22.481548344178993,401.3324049617163,59.694339070667006,15.66000549547902,219666.6645148613,0.6214777514971962
Synthetic_3908,16655,23.539723828366167,396.974339379602,52.27654629689913,15.397641944582364,188824.9257887763,0.6189330281110644
Synthetic_3966,16655,23.47770301771561,397.0755229000658,52.378255253528074,15.429972420065251,188824.97892887625,0.6559158811904826
Synthetic_1685,20169,24.51139816148382,399.94641379487126,58.04603023999145,14.853354516855774,210699.99240018768,0.6684265014532575
Synthetic_9379,20169,24.479242860525734,399.98562392886697,57.96826540743161,14.873938255718645,210699.99570048306,0.5810416925440788
Synthetic_9133,22944,22.463966011403944,398.5435882902969,60.60642875454938,15.758239291899896,226133.39553402102,0.7023086759599426
Synthetic_4794,21512,22.40429859964769,401.30563131576633,59.639435589710786,15.725066404521542,219666.70270346108,0.6311846638165304
Synthetic_2471,20170,24.491447753164092,399.99931575166033,57.96260153627466,14.856391649960674,210699.94675210663,0.6646454656514246
Synthetic_3207,19041,23.24330495629238,398.3730862760028,56.49794362806803,15.631025535061568,196459.48895701687,0.6611313641239128
Synthetic_7519,21512,22.443284747491468,401.4035690900237,59.720546429109994,15.692233893685184,219666.58162408182,0.7114645485969283
Synthetic_1226,22944,22.437645147572496,398.5553865253621,60.63719819766256,15.846818854513097,226133.315230066,0.6724953161524141
Synthetic_5783,22944,22.472992853664564,398.4834589238919,60.62176835924496,15.834141573698858,226133.38355169515,0.6850449914638904
Synthetic_7901,21512,22.373880593542165,401.2534968837963,59.597321753294125,15.742041960216117,219666.7124310028,0.6755956031303703
Synthetic_3985,23874,22.573171500697704,395.9825168385987,61.49706107897428,16.221628802373175,233799.8688841273,0.6538284561541828
Synthetic_6921,23874,22.686106355913164,395.98047270037887,61.49036453751212,16.292509843174557,233800.0358693992,0.732458397154317
Synthetic_9301,16884,22.68461336852799,398.4222486208447,57.47925313639047,15.269724864927063,160949.93571545347,0.6136979967142266
Synthetic_8005,23874,22.706482839982726,395.9680012833916,61.52129631687398,16.319507234513466,233800.04833283107,0.7046716342975679
Synthetic_4135,16884,22.62730842893207,398.56186201625735,57.44757693273206,15.218913173394498,160950.00327911373,0.630374173435879
Synthetic_1787,22944,22.51387477859852,398.6046222394915,60.67100491784665,15.869405943097714,226133.38104230538,0.6975156145128555
Synthetic_7391,16655,23.45887845644586,397.000518992263,52.232837437315204,15.462929236160246,188824.99713102536,0.727053187706918
Synthetic_5598,22944,22.459272845517784,398.5383963641379,60.61556283571179,15.796236464169981,226133.2930669035,0.6711892326475412
Synthetic_3308,20170,24.430732558396237,400.00665688046905,57.991552830711846,14.835336255245219,210699.9286792686,0.6074688715847346
Synthetic_9028,21512,22.396613381796453,401.3307343311508,59.71644123906892,15.75153412558574,219666.72261760046,0.6301064564083044
Synthetic_9524,23873,22.722878155304375,396.0230591365807,61.51217746830443,16.272096183253588,233799.99184133153,0.6423530619777358
Synthetic_9242,20170,24.461704351807978,400.0145642303339,57.978944555952665,14.795429859836444,210699.96920638919,0.733863146251696
Synthetic_6889,22944,22.44497268303611,398.61179416270966,60.693591306856234,15.839476237125844,226133.34994677894,0.6296249763580356
Synthetic_1029,21512,22.477594152990356,401.36285393497604,59.75442184164015,15.69705411946753,219666.71034878195,0.62955623140841
Synthetic_3569,22944,22.420070431737205,398.60013955972283,60.58908913325264,15.830198612629726,226133.25929038506,0.7846704121055206
Synthetic_9336,22944,22.416930960743162,398.51980592060755,60.640111718858655,15.892142017818548,226133.3499952425,0.7240281607131184
Synthetic_9708,16656,23.45693116009781,396.998969106877,52.3254062867382,15.330215975740407,188825.08932361053,0.6469547479458488
Synthetic_2022,21512,22.368904571858778,401.36025942768816,59.60647068329314,15.719874104528207,219666.63697473655,0.7057809911139655
Synthetic_7184,16656,23.553752859357154,397.1062073671447,52.24492759016936,15.35087347051739,188825.0612795001,0.5867832623131704
Synthetic_3021,16655,23.498373867841142,396.9848574365183,52.251583190247935,15.429659235167875,188824.93609407195,0.6537366951754829
Synthetic_9624,16655,23.41286592934687,396.93168912779026,52.3667982631326,15.283910650511682,188825.00212931912,0.6325103407559662
Synthetic_1635,16655,23.534951691524626,397.05072946523524,52.229632253701226,15.407537363677733,188825.05607980472,0.6893741783212335
Synthetic_1203,16884,22.640799935633233,398.40137547334973,57.45078102557702,15.265679169843642,160949.99784850373,0.6167717161035035
